"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YJR103W",360.453161750921,-1.96289333075849,0.236045583409969,-8.3157384366277,9.1182723945752e-17,3.93533057791269e-15
"YMR030W",70.3937293951293,-1.96077425795094,0.405012865845713,-4.84126412591023,1.29015753031497e-06,1.11540169314035e-05
"YMR262W",141.772638139242,-1.96065174030517,0.313973420084026,-6.24464242794966,4.24770716548816e-10,7.47541474625392e-09
"YGR201C",61.88759667943,-1.96044424997608,0.446684129859169,-4.38888270016259,1.13934498213898e-05,7.74469751608975e-05
"YDR171W",248.094182927847,-1.95942876377571,0.269235070759253,-7.2777619878794,3.39403444955415e-13,9.27475343551532e-12
"YDR031W",16.5428075776812,-1.95910837024572,0.790190970156522,-2.47928468463473,0.0131646186154256,0.0357053346786457
"YGR254W",5944.5056380772,-1.95593585369554,0.188531297631873,-10.3745949784672,3.23581581582882e-25,3.51927328129543e-23
"YER187W",15.935169680832,-1.95225876395467,0.799125818975924,-2.44299297757202,0.0145660207093509,0.0389429796545971
"YJL106W",120.550718347836,-1.94838817546115,0.354646574377846,-5.49388691792441,3.93182307330592e-08,4.87044507349376e-07
"YKL171W",121.987850966366,-1.94131150918105,0.325252361338315,-5.9686315610228,2.3925168840065e-09,3.68569598165081e-08
"YOR386W",112.974035038391,-1.93963917183584,0.345306140687132,-5.61715806147006,1.9412382896037e-08,2.5376090910733e-07
"YPL017C",507.425001872323,-1.93604585815647,0.214995881686644,-9.00503694753675,2.15593206259888e-19,1.30266206182363e-17
"YPL230W",41.8555247443469,-1.93530973091809,0.505723868395922,-3.82681113520822,0.000129814038181173,0.000667860680822347
"YIL120W",102.299226089947,-1.93338858486588,0.351024487483362,-5.50784533217934,3.63252339232522e-08,4.53065646960196e-07
"YHR143W",575.493080564576,-1.92789389457847,0.238329374703606,-8.08919965059304,6.00580573448741e-16,2.43728146150318e-14
"YHR006W",515.338977458084,-1.92580904101985,0.215657434724215,-8.92994504679419,4.26220460382486e-19,2.49224393931178e-17
