GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YBR296C,18.31648149,-2.391632184,0.701216586,-3.410689697,0.000647988,0.011894824
YIL155C,20.41022086,-2.386509697,0.694103396,-3.438262528,0.00058546,0.010899083
YOR374W,114.760582,-2.330969394,0.348473489,-6.689086728,2.25E-11,3.27E-09
YLR356W,17.71070211,-2.306576252,0.706023521,-3.266996331,0.001086951,0.017530826
YHR029C,28.81057646,-2.305680161,0.561313388,-4.107652177,4.00E-05,0.001222781
YOL152W,11.11602314,-2.302926099,0.870489745,-2.645552244,0.008155769,0.078187943
YOR285W,51.94142175,-2.300364975,0.44305704,-5.192028939,2.08E-07,1.33E-05
YJL012C,400.4131561,-2.282776968,0.273397827,-8.349652925,6.85E-17,2.53E-14
YKL103C,54.24001415,-2.282314404,0.433159697,-5.268990671,1.37E-07,9.41E-06
YDR019C,41.66523319,-2.261556138,0.475184336,-4.759323834,1.94E-06,9.33E-05
YHR143W,116.5510699,-2.258543776,0.338729648,-6.667688501,2.60E-11,3.67E-09
YJL016W,16.72686672,-2.244015837,0.712607347,-3.149021474,0.001638182,0.024582927
YDR272W,40.41040517,-2.243925233,0.504073989,-4.451579099,8.52E-06,0.000340963
YDL192W,262.4830656,-2.240563851,0.282295125,-7.936955508,2.07E-15,5.85E-13
YMR319C,28.86957567,-2.240145703,0.563210797,-3.977455182,6.97E-05,0.001890177
YDL124W,93.84274764,-2.223413211,0.375262593,-5.924952965,3.12E-09,3.26E-07
YLR256W,95.63230259,-2.203389424,0.373742082,-5.895481223,3.74E-09,3.82E-07
YML116W,21.4821127,-2.193317424,0.668841676,-3.279277448,0.001040733,0.017177453
YML131W,59.79738746,-2.175998104,0.442944896,-4.912570673,8.99E-07,4.84E-05
YBR066C,14.31389261,-2.173560188,0.755599949,-2.876601819,0.004019825,0.046635794
YER072W,219.9160505,-2.164480637,0.29941178,-7.229109813,4.86E-13,8.98E-11
YGR197C,12.86451745,-2.162367491,0.786164969,-2.750526387,0.00594996,0.062125342
YJL042W,41.03488829,-2.099820155,0.485213553,-4.32762057,1.51E-05,0.000543641
YJR127C,18.59837725,-2.096628258,0.695728166,-3.013573923,0.002581901,0.034000816
YBL001C,47.31387696,-2.085443419,0.480875072,-4.336767571,1.45E-05,0.000526123
YEL052W,21.72099403,-2.08186182,0.658470844,-3.161661355,0.001568719,0.023768317
YMR195W,68.98376201,-2.076197568,0.422017454,-4.919695965,8.67E-07,4.74E-05
